year	month	day	date_vector	class	probability
2021	11	17	2021.87704918033	3	0.768128103017807
2021	11	25	2021.89890710383	3	0.797166771613635
2021	12	3	2021.92076502732	15	0.839969976080788
2021	12	11	2021.94262295082	3	0.917546060681343
2021	12	19	2021.96448087432	3	0.821344402432442
2021	12	27	2021.98633879781	3	0.948196715116501
2022	1	1	2022.00273224044	15	0.958255690336227
2022	1	9	2022.02459016393	3	0.600517193476359
2022	1	17	2022.04644808743	15	0.788030594587326
2022	1	25	2022.06830601093	3	0.768954110145569
2022	2	2	2022.09016393443	15	0.964944312969844
2022	2	10	2022.11202185792	15	0.972514736652374
2022	2	18	2022.13387978142	15	0.978029522299767
2022	2	26	2022.15573770492	3	0.77788091301918
2022	3	6	2022.17759562842	15	0.89566248196822
2022	3	14	2022.19945355191	15	0.778166858773482
2022	3	22	2022.22131147541	3	0.530338230729103
2022	3	30	2022.24316939891	NaN	NaN
2022	4	7	2022.2650273224	NaN	NaN
2022	4	23	2022.3087431694	15	0.95921585559845
2022	5	1	2022.3306010929	15	0.997509208321571
2022	5	9	2022.35245901639	15	0.946124188601971
2022	5	17	2022.37431693989	21	0.999346706271172
2022	5	25	2022.39617486339	21	0.891074597835541
2022	6	2	2022.41803278689	15	0.987129280441686
2022	6	10	2022.43989071038	21	0.941087122474398
2022	6	18	2022.46174863388	21	0.945453649759293
2022	6	26	2022.48360655738	15	0.803875307242076
2022	7	4	2022.50546448087	17	0.882421360566066
2022	7	12	2022.52732240437	21	0.808806791901588
2022	7	20	2022.54918032787	20	0.738622983296712
2022	7	28	2022.57103825137	15	0.978266358375549
2022	8	5	2022.59289617486	15	0.93476665019989
2022	8	13	2022.61475409836	15	0.935039048845118
2022	8	21	2022.63661202186	13	0.90836896498998
2022	8	29	2022.65846994536	15	0.9622458294034
2022	9	6	2022.68032786885	15	0.976245269179344
2022	9	14	2022.70218579235	15	0.995239531993866
2022	9	22	2022.72404371585	15	0.997768026590347
2022	9	30	2022.74590163934	15	0.990439337491989
2022	10	8	2022.76775956284	15	0.96661778986454
2022	10	16	2022.78961748634	3	0.570380379756292
2022	10	24	2022.81147540984	3	0.634673172235489
2022	11	1	2022.83333333333	15	0.969752530256907
2022	11	9	2022.85519125683	15	0.71776499918529
2022	11	17	2022.87704918033	11	0.48888473212719
2022	11	25	2022.89890710383	15	0.991321384906769
2022	12	3	2022.92076502732	3	0.801669619977474
2022	12	11	2022.94262295082	15	0.922523027658463
2022	12	19	2022.96448087432	15	0.706446811556816
2022	12	27	2022.98633879781	15	0.961507385969162
2023	1	1	2023.00273224044	15	0.934054131691272
2023	1	9	2023.02459016393	15	0.990441164374351
2023	1	17	2023.04644808743	15	0.996423292160034
2023	1	25	2023.06830601093	15	0.993184080719948
2023	2	2	2023.09016393443	15	0.997744551301002
2023	2	10	2023.11202185792	15	0.945404380559921
2023	2	18	2023.13387978142	15	0.971818050742149
2023	2	26	2023.15573770492	15	0.993846708536148
2023	3	6	2023.17759562842	15	0.962634551525116
2023	3	14	2023.19945355191	15	0.986224114894867
2023	3	22	2023.22131147541	15	0.999358305335045
2023	3	30	2023.24316939891	15	0.999063247442246
2023	4	7	2023.2650273224	15	0.977391937375069
2023	4	15	2023.2868852459	13	0.920754998922348
2023	4	23	2023.3087431694	15	0.868566559119658
2023	5	1	2023.3306010929	15	0.753761112689972
2023	5	9	2023.35245901639	15	0.922217865784963
2023	5	17	2023.37431693989	15	0.991619485266068
2023	5	25	2023.39617486339	27	0.645301433404287
2023	6	2	2023.41803278689	13	0.93325241903464
2023	6	10	2023.43989071038	15	0.853054767305201
2023	6	18	2023.46174863388	15	0.954517354567846
2023	6	26	2023.48360655738	15	0.948238787055016
2023	7	4	2023.50546448087	15	0.99986469745636
2023	7	12	2023.52732240437	15	0.943116918990487
2023	7	20	2023.54918032787	15	0.9576954215765
2023	7	28	2023.57103825137	15	0.933774777821132
2023	8	5	2023.59289617486	15	0.995984679460525
2023	8	13	2023.61475409836	17	0.7440265417099
2023	8	21	2023.63661202186	15	0.975932902759976
2023	8	29	2023.65846994536	15	0.730513704173705
2023	9	6	2023.68032786885	15	0.901140654087067
2023	9	14	2023.70218579235	15	0.818540326754252
2023	9	22	2023.72404371585	15	0.910489350557327
2023	9	30	2023.74590163934	15	0.736597426235676
2023	10	8	2023.76775956284	NaN	NaN
2023	10	16	2023.78961748634	15	0.658307641744614
2023	10	24	2023.81147540984	15	0.627513915300369
2023	11	1	2023.83333333333	13	0.900859303772449
2023	11	9	2023.85519125683	NaN	NaN
2023	11	17	2023.87704918033	13	0.919046257932981
2023	11	25	2023.89890710383	15	0.731203132867813
2023	12	3	2023.92076502732	NaN	NaN
2023	12	11	2023.94262295082	15	0.987694570422173
2023	12	19	2023.96448087432	15	0.956529536417552
2023	12	27	2023.98633879781	15	0.974616596102715
2024	1	1	2024.00273224044	NaN	NaN
2024	1	9	2024.02459016393	15	0.775693867887769
2024	1	17	2024.04644808743	15	0.839843213558197
2024	1	25	2024.06830601093	15	0.993227311968803
2024	2	2	2024.09016393443	15	0.979257827997208
2024	2	10	2024.11202185792	15	0.736390590667725
2024	2	18	2024.13387978142	15	0.954026155612048
2024	2	26	2024.15573770492	21	0.883324588338534
2024	3	5	2024.17759562842	NaN	NaN
2024	3	13	2024.19945355191	15	0.77563786777583
2024	3	21	2024.22131147541	15	0.857339302698771
2024	3	29	2024.24316939891	13	0.540026317943226
2024	4	6	2024.2650273224	15	0.944430390000343
2024	4	14	2024.2868852459	13	0.966648799180984
2024	4	22	2024.3087431694	13	0.859089636802673
2024	4	30	2024.3306010929	15	0.999177131056786
2024	5	8	2024.35245901639	15	0.840839326381683
2024	5	16	2024.37431693989	15	0.602518204185698
2024	5	24	2024.39617486339	15	0.99809133708477
2024	6	1	2024.41803278689	15	0.948351091808743
2024	6	9	2024.43989071038	15	0.905104747414589
2024	6	17	2024.46174863388	13	0.948236501216888
2024	6	25	2024.48360655738	15	0.862192032734553
2024	7	3	2024.50546448087	15	0.8896067182223
2024	7	11	2024.52732240437	15	0.953663004769219
2024	7	19	2024.54918032787	15	0.996541776155171
2024	7	27	2024.57103825137	15	0.732915410628686
2024	8	4	2024.59289617486	3	0.749803906137293
2024	8	12	2024.61475409836	21	0.999085646867752
2024	8	20	2024.63661202186	21	0.973218039462441
2024	8	28	2024.65846994536	11	0.911865002968732
2024	9	5	2024.68032786885	3	0.595517405867577
2024	9	13	2024.70218579235	15	0.962383255362511
2024	9	21	2024.72404371585	15	0.91372312605381
2024	9	29	2024.74590163934	3	0.727897133146014
2024	10	7	2024.76775956284	15	0.874931377669176
2024	10	15	2024.78961748634	3	0.925877451896667
