Cup,Duration,Date,Mid-Date,Julian Day,Mid-Julian,tot_mass_flux,org_c_flux,caco3_flux,opal_flux,terr_flux,nitro_flux
1,15,2016-10-27,2016-11-03,8700,8707.5,1.881,0.097,0.177,0.324,1.137,0.011
2,15,2016-11-11,2016-11-18,8715,8722.5,2.352,0.094,0.184,0.344,1.589,0.011
3,15,2016-11-26,2016-12-03,8730,8737.5,2.238,0.098,0.173,0.238,1.581,0.011
4,15,2016-12-11,2016-12-18,8745,8752.5,1.97,0.095,0.178,0.282,1.272,0.011
5,15,2016-12-26,2017-01-02,8760,8767.5,1.707,0.066,0.153,0.126,1.262,0.008
6,15,2017-01-10,2017-01-17,8775,8782.5,1.127,0.047,0.135,0.07,0.803,0.006
7,15,2017-01-25,2017-02-01,8790,8797.5,1.104,0.041,0.196,0.086,0.719,0.006
8,15,2017-02-09,2017-02-16,8805,8812.5,0.445,0.023,0.057,0.039,0.29,0.003
9,15,2017-02-24,2017-03-03,8820,8827.5,0.524,0.024,0.069,0.046,0.35,0.003
10,15,2017-03-11,2017-03-18,8835,8842.5,2.258,0.097,0.202,0.406,1.408,0.013
11,15,2017-03-26,2017-04-02,8850,8857.5,0.162,0.009,0.015,0.02,0.105,0.001
12,15,2017-04-10,2017-04-17,8865,8872.5,0.527,0.049,0.016,0.155,0.232,0.005
13,15,2017-04-25,2017-05-02,8880,8887.5,0.155,0.01,0.012,0.034,0.084,0.001
1,13,2017-05-11,2017-05-17,8896,8902.5,2.031,0.077,0.153,0.618,1.068,0.01
2,13,2017-05-24,2017-05-30,8909,8915.5,2.665,0.153,0.214,1.303,0.764,0.022
3,13,2017-06-06,2017-06-12,8922,8928.5,0.794,0.038,0.063,0.258,0.379,0.005
4,13,2017-06-19,2017-06-25,8935,8941.5,1.489,0.072,0.104,0.36,0.845,0.01
5,13,2017-07-02,2017-07-08,8948,8954.5,1.538,0.083,0.192,0.454,0.686,0.01
6,13,2017-07-15,2017-07-21,8961,8967.5,0.338,0.018,0.026,0.076,0.192,0.002
7,13,2017-07-28,2017-08-03,8974,8980.5,0.72,0.05,0.042,0.183,0.371,0.007
8,13,2017-08-10,2017-08-16,8987,8993.5,0.572,0.037,0.067,0.098,0.315,0.005
9,13,2017-08-23,2017-08-29,9000,9006.5,0.935,0.057,0.417,0.147,0.229,0.007
10,13,2017-09-05,2017-09-11,9013,9019.5,0.548,0.031,0.168,0.09,0.212,0.004
11,13,2017-09-18,2017-09-24,9026,9032.5,1.52,0.089,0.106,0.33,0.861,0.011
12,13,2017-10-01,2017-10-07,9039,9045.5,1.815,0.092,0.126,0.248,1.211,0.011
13,11,2017-10-14,2017-10-19,9052,9057.5,1.898,0.103,0.133,0.195,1.314,0.012